content,label
.,-1
 Development   Support of MS SQL Servers in Production,2
 Development environments  .,-1
 Replication and Cluster Server Environments..,-1
 Working Experience with relational database such as SQL..,2
 Experience in Installation,-1
 Configuration,-1
 Maintenance and Administration of SQL Server..,2
 Experience in upgrading SQL Server..     Good experience with implementing DR solution,2
 High Availability of database servers using.,2
 Database mirroring and replications and Log Shipping..,2
 Experience in implementing SQL Server security and Object permissions like maintaining.,2
 Database authentication modes,2
 creation of users,-1
 configuring permissions and assigning roles.,-1
 to users..,-1
 Experience in creating Jobs,-1
 Alerts,-1
 SQL Mail Agent.,2
 Experience in performing integrity checks.,-1
 Methods include configuring the database.,-1
 maintenance plan wizard and DBCC utilities.,-1
 Experience in using Performance Monitor,-1
 SQL Profiler and optimizing the queries,2
 tracing long.,-1
 running queries and deadlocks..,-1
 Experience in applying patches and service packs to keep the database at current patch level..     Ability to manage own work and multitask to meet tight deadlines without losing sight of.,-1
 priorities... .,-1
 Willing to relocate to: Bengaluru,-1
 Karnataka.,-1
 WORK EXPERIENCE.,-1
 Operational Analyst (SQL DBA) Engineer.,-1
 UNISYS -  Bengaluru,-1
 Karnataka -.,-1
 July 2016 to Present.,-1
 Having 3.5 Years of IT experience in SQL Database Administration,5
 System Analysis,-1
 Design,-1
.,-1
 Development   Support of MS SQL Servers in Production,2
 Development environments  .,-1
 Replication and Cluster Server Environments..,-1
 Working Experience with relational database such as SQL..,2
 Experience in Installation,-1
 Configuration,-1
 Maintenance and Administration of SQL Server.,2
 Experience in upgrading SQL Server..     Good experience with implementing DR solution,2
 High Availability of database servers using.,2
 Database mirroring and replications and Log Shipping..,2
 Experience in implementing SQL Server security and Object permissions like maintaining.,2
 Database authentication modes,2
 creation of users,-1
 configuring permissions and assigning roles.,-1
 to users.. .,-1
 DBA Support Analyst.,-1
 Microsoft Corporation -  Redmond,-1
 WA -.,-1
 https://www.indeed.com/r/Alok-Khandai/5be849e443b8f467 isid rex-download ikw download-top co IN.,-1
 July 2016 to Present.,-1
 Client Description:.,-1
 Microsoft Corporation is an American public multinational corporation headquartered in.,-1
 Redmond,-1
 Washington,-1
 USA that develops,-1
 manufactures,-1
 licenses,-1
 and supports a wide range of.,-1
 products and services predominantly related to computing through its various product divisions.. .,-1
 Environment:.,-1
 Microsoft has E2E development and production environment of more than 25000 servers and.,-1
 applications.,-1
 We are responsible for pro-active monitoring of all the servers and their jobs using.,-1
 monitoring tools to reduce critical business impact by alerting respective peer teams.,-1
 Microsoft.,-1
 Service Enterprise an ITSM tools are used for ticketing and SharePoint portal is used to store all.,-1
 technical and process documentation.. .,-1
 Roles and Responsibilities:.,-1
 Responsible for Database support,2
 troubleshooting,-1
 planning and migration.,-1
 Resource planning.,-1
 and coordination for application migrations with project managers,-1
 application and web app.,-1
 teams.,-1
 Project involved guidance and adherence to standardized procedures for planned data.,-1
 center consolidation for worldwide centers using in-house corporate and third party applications.,-1
 based on SQL 2000 in upgrade project to SQL 2005..,2
 Monitoring of database size and disk space in Production,2
 Staging   Development environments.,-1
 Performed installation of SQL Enterprise 2005 64bit version on Windows 2003 servers on.,5
 Enterprise systems of clustered and standalone servers in enterprise Data Centers.,-1
 Patch.,-1
 applications..     Failover cluster testing and resolution on HP servers as well as monitoring and backup reporting.,-1
 setup with Microsoft Operations Manager and backup teams..,-1
 Working in Microsoft production environment which includes applications and servers..     Configured Transactional Replication and Log Shipping with SQL Server Management Studio as.,-1
 well as basic account management and troubleshooting with connectivity,-1
 security and firewall.,-1
 issues..     Handling issues related to Server Availability,-1
 Performance..,-1
 Performed Production support and on Call duties.,-1
 Conducted Performance Tuning using SQL Profiler and Windows Performance Monitor..,2
 Worked with various business groups while developing their applications,-1
 assisting in database.,-1
 design,-1
 installing SQL Server clients,2
 phasing from development to QA and to Production.,-1
 environment.. .,-1
 Previous Project.,-1
 Project Title: Finance Support.,-1
 Client: Costco Wholesale Corporation (USA).,-1
 Team size: 22.,-1
 Role: DBA Support Analyst.,-1
 Environment: Window 10. .,-1
 (SQL DBA Analyst) Engineer.,-1
 HCL Technologies -  Bengaluru,-1
 Karnataka -.,-1
 November 2014 to July 2016. .,-1
 Performed server installation and configurations for SQL Server 2005 and SQL Server 2000.. .,-1
 Performed installation of SQL Server Service Packs.,2
 Upgraded databases from SQL Server 2000 to SQL Server 2005..,5
 Scheduled Full and Transactional log backups for the user created and system databases in.,-1
 the production environment using the Database Maintenance Plan Wizard..,-1
 Setup backup and restoration jobs for development and QA environments.,-1
 Created transactional replication for the reporting applications..,-1
 Implemented disaster recovery solution at the remote site for the production databases using.,-1
 Log Shipping..     Used System monitor to find the bottlenecks in CPU,-1
 Disk I/O and memory devices and.,-1
 improved the database server performance..     Used SQL Server Profiler to monitor and record database activities of particular users and.,2
 applications..     Used DBCC commands to troubleshoot issues related to database consistency.,-1
 Worked with various business groups while developing their applications,-1
 assisting in database.,-1
 design,-1
 installing SQL Server clients,2
 phasing from development to QA and to Production.,-1
 environment.,-1
 Microsoft Corporation -.,-1
 November 2014 to July 2016. .,-1
 Client Description:.,-1
 Costco Wholesale Corporation operates an international chain of membership warehouses,-1
.,-1
 mainly under the  Costco Wholesale  name,-1
 that carry quality,-1
 brand name merchandise at.,-1
 substantially lower prices than are typically found at conventional wholesale or retail sources.,-1
 The.,-1
 warehouses are designed to help small-to-medium-sized businesses reduce costs in purchasing.,-1
 for resale and for everyday business use.,-1
 Individuals may also purchase for their personal needs.. .,-1
 Responsibilities:.,-1
 Performed server installation and configurations for SQL Server 2005 and SQL Server 2000..,-1
 Performed installation of SQL Server Service Packs.,2
 Upgraded databases from SQL Server 2000 to SQL Server 2005..,5
 Scheduled Full and Transactional log backups for the user created and system databases in.,-1
 the production environment using the Database Maintenance Plan Wizard..,-1
 Setup backup and restoration jobs for development and QA environments.,-1
 Created transactional replication for the reporting applications..,-1
 Implemented disaster recovery solution at the remote site for the production databases using.,-1
 Log Shipping..     Used System monitor to find the bottlenecks in CPU,-1
 Disk I/O and memory devices and improved.,-1
 the database server performance..     Used SQL Server Profiler to monitor and record database activities of particular users and.,2
 applications..     Used DBCC commands to troubleshoot issues related to database consistency.,-1
 Worked with various business groups while developing their applications,-1
 assisting in database.,-1
 design,-1
 installing SQL Server clients,2
 phasing from development to QA and to Production.,-1
 environment.,-1
 EDUCATION.,-1
 B.Tech in Computer Science and Engineering in CSE.,-1
 Indira Gandhi Institute Of Technology.,-1
 2012. .,-1
 SKILLS.,-1
 Database (3 years),5
 SQL (3 years),5
 Sql Dba.,2
 ADDITIONAL INFORMATION.,-1
 TECHNICAL PROFICIENCY.,-1
 Operating Environment:       Windows95/98/XP/NT.,-1
 Database Tool: SQL Management Studio (MSSQL),2
 Business.,-1
 Development Studio,-1
 Visual studio 2005.,-1
 Database Language: SQL,2
 PL/SQL.,-1
 Ticket Tracking Tool: Service Now.,-1
 Reporting Tools: MS Reporting Services,-1
 SAS.,-1
 Languages: C,2
 C++,2
 PL/SQL,2
Anvitha Rao.,-1
 Automation developer.,-1
 - Email me on Indeed: indeed.com/r/Anvitha-Rao/9d6acc68cc30c71c.,-1
 Seeking a software development internship position for Summer 2018 that utilizes my technical.,-1
 skills,-1
 education and passion for.,-1
 solving interesting problems as a software professional.. .,-1
 Willing to relocate: Anywhere.,-1
 WORK EXPERIENCE.,-1
 Automation developer.,-1
 SAP Labs -  Bengaluru,-1
 Karnataka -.,-1
 August 2016 to August 2017. .,-1
 Worked as an automation developer in the development of cloud based Human capital.,-1
 management System and.,-1
 Integration frameworks Dell Boomi and SAP HANA Cloud Platform Integration..     Development of automation framework using Java Selenium and RestFul API s for payroll.,-1
 projects..     Collaborating with customers on migrating Payroll projects to SAP HANA Cloud Platform.,-1
 Integration..     Involved in regression,-1
 unity,2
 functionality,-1
 performance,-1
 sanity and acceptance test driven.,-1
 development process.. .,-1
 Intern.,-1
 SAP Labs -  Bengaluru,-1
 Karnataka -.,-1
 February 2016 to July 2016. .,-1
 Worked on migrating Business intelligence tool,-1
 Universe Design Tool in Visual Studio using C++..,-1
 Automation of test cases for identifying operations supported by databases using Java..     Tools: Universe Design Tool,-1
 Information Design Tool,-1
 Webi and Perforce.. .,-1
 Projects:.,-1
 GeoSpark Integrated with Apache Hadoop.,-1
 Identifies top 50 pick up points in New York city based on distributed New York taxi data using.,-1
 Apache Spark and Scala.. Iaas Implementation: Cloud application for Image Recognition.,2
 This project uses Amazon S3,-1
 SQS and EC2 instances to provide Image recognition service to.,-1
 users by implementing load.,-1
 balancing and web services.. Spam Detection.,-1
 Identifying spam messages using Natural Language processing techniques in python..,2
 Analysis of Financial Data.,-1
 https://www.indeed.com/r/Anvitha-Rao/9d6acc68cc30c71c isid rex-download ikw download-top co IN.,-1
 Exploratory data analysis of stock prices using various data visualization techniques in pandas.,-1
 and d3.js.,-1
 Effective prediction and prevention of air pollution caused due to automobiles using IoT and data.,-1
 analytics techniques.,-1
 Analyzes pollutants at different geographical locations and suggests a least polluted route on.,-1
 an android application..,-1
 Co-authored a paper --Ref link: http://www.ijrcct.org/index.php/ojs/article/view/1416.,-1
 EDUCATION.,-1
 Masters in Computer Science.,-1
 Arizona State University -  Tempe,-1
 AZ.,-1
 September 2019. .,-1
 Bachelor of Engineering in Computer Science.,-1
 M S Ramaiah Institute of Technology -  Bengaluru,-1
 Karnataka.,-1
 September 2012 to June 2016. .,-1
 SKILLS.,-1
 JAVA (1 year),5
 C++ (Less than 1 year),5
 Hadoop (Less than 1 year),-1
 HADOOP (Less than 1 year),-1
.,-1
 CSS (Less than 1 year).,5
 LINKS.,-1
 https://www.linkedin.com/in/anvitha-d-rao-65a068a7.,-1
 ADDITIONAL INFORMATION.,-1
 Technical Skills:.,-1
 Programming Languages: C,2
 C++,2
 HTML/CSS,-1
 Java,2
 Python,2
 Javascript.,-1
 Technologies: IoT,-1
 MySQL,2
 PostgreSQL,-1
 D3js,-1
 Hadoop and Spark,2
 Gephi.,-1
 https://www.linkedin.com/in/anvitha-d-rao-65a068a7,-1
arjun ks.,-1
 Senior Program coordinator - oracle India Limited.,-1
 Bangalore City,-1
 Karnataka - Email me on Indeed: indeed.com/r/arjun-ks/8e9247624a5095b4.,-1
 Seeking a position in a company where I can use my familiarity of the field and my educational.,-1
 background for the profit of the company.,-1
 My individuality as well as past know-how should help.,-1
 me in causative to the overall intensification of the company.. .,-1
 Snaps.,-1
 Expertise,-1
 Certification and Training.,-1
 I am a Post Graduate in MBA with a total work experience of 6.8 years.,-1
 3.3 years in IT.,-1
 Currently working as a Senior Program coordinator.,-1
 3.5 years in BPO voice.,-1
 support,-1
.,-1
 Good work ethics with excellent communication and interpersonal skills..,-1
 Capable to delve into the new leading Technologies..,-1
 Pro active and self starter with the great ability of leadership..     Ability to work well in both a team environment and individually..,2
 Able to handle multiple projects under tight deadlines..,2
 Able to develop excellent rapport with peers,2
 professionals and managers.. .,-1
 Trained on PMP (project management professional) Course.,-1
 Diploma in Office Application  Ms-excel,-1
 Ms-word   Ms PowerPoint .,-1
 Diploma in Tally 9.0.,-1
 Milestone 2.0 from Infosys.,-1
 Coach the coach from Infosys.,-1
 Analytical ability from Infosys.,-1
 Diffusion skills from Infosys.,-1
 Personality development program from Bouyance.,-1
 National entrepreneurship network training from NEN.,-1
 Willing to relocate to: Bangalore,-1
 Karnataka.,-1
 WORK EXPERIENCE.,-1
 senior program coordinator.,-1
 oracle -  Bengaluru,-1
 Karnataka -.,-1
 2014 to Present.,-1
 Managing Oracle   s LMS system and assist all processes supporting Employee/Partner trainings,-1
.,-1
 registrations,-1
 and online publication,-1
 also provide support for Oracle s LMS systems.. .,-1
 Process Specialist.,-1
 Infosys -  Bengaluru,-1
 Karnataka -.,-1
 https://www.indeed.com/r/arjun-ks/8e9247624a5095b4 isid rex-download ikw download-top co IN.,-1
 July 2011 to December 2014. .,-1
 Responsibility Areas:.,-1
 Daily,-1
 Weekly and Monthly performance monitoring..     Quality monitoring of advisors and to identify area of improvement..,-1
 Customer satisfaction monitoring and providing feedback to improve customer experience..,-1
 Facilitating interactions with various support functions such as HR,-1
 Command centre (work.,-1
 force management team),-1
 finance,-1
 and transport teams..,-1
 Preparing Balance Score Card for the associates..,-1
 Matching the contract of the client and rostering agents..,-1
 Manage sectors on a shift basis..     Seat utilization plan.,-1
 (Physical Resource allocation).,-1
 Coaching and mentoring the team members to improve on productivity and accuracy..     Holding Process review meetings with the senior management to review performance on an.,-1
 ongoing basis..     Imparting training to team members on regular basis..     Mentor new team leaders on the Floor.,-1
 Has been a technical training resource for all New Hires.,-1
 including Team Leaders..     Have been conducting the Operations orientation programs for the new joiners on the floor..,-1
 Manage escalated customer enquiries / complaints,-1
 Share best practices across the.,-1
 Process   facilitate process improvements initiatives..,-1
 Monitoring and evaluating the existing processes,-1
 performance and SOPs of each agent against.,-1
 committed SLA   s.. Imparting timely feedback and reporting to the India and UK leadership team on process.. .,-1
 EDUCATION.,-1
 mba in human resource.,-1
 sikkim manipal university -  Bengaluru,-1
 Karnataka.,-1
 June 2012 to June 2014. .,-1
 B.COM.,-1
 in Marketing,-1
 Accountancy.,-1
 College Bangalore University -  Bengaluru,-1
 Karnataka.,-1
 2011. .,-1
 SKILLS.,-1
 PMP trained six sigma yellow belt.,-1
 LINKS.,-1
 https://www.linkedin.com/in/arjun-k-s-31388627/.,-1
 ADDITIONAL INFORMATION.,-1
 Areas of Expertise.,-1
 https://www.linkedin.com/in/arjun-k-s-31388627/.,-1
 Part of Recruitment team to hire process executives for Organization..,-1
 Possess excellent interpersonal,-1
 communication and organizational skills with proven abilities.,-1
 in team management,-1
 customer relationship management and planning..,-1
 Able to coordinate with different support teams like Training,2
 MIS,-1
 Technology and Quality to.,-1
 successfully implement projects.,-1
 Able to manage teams as per SOPs (Standard Operating Procedures) ISO       and ensure.,2
 compliance to SLA s and international standards..,-1
 Overseeing operations and ensuring achievement of desired objectives..     Driving day-to-day functions with key focus on bottom line profitability by ensuring optimal.,-1
 Resource utilization..     People Management   Team Building.,-1
 Training,-1
 development,-1
 work allocation   goal setting and performance appraisal of executives..,2
 Putting systemic quality monitoring procedures in place to ensure SLA s are met   exceeded..,-1
 Anticipate,-1
 organize   present information needed by management   client.,-1
 Putting Security.,-1
 measures in place to ensure information security   data integrity.. .,-1
 Achievements.,-1
 Multiple appreciations from Managers and Requesters for being customer centric and proactive.,-1
 Throughout the carrier rating was  Significantly above the peer group .,-1
 Received number of appreciation mails from client and as well from management.. .,-1
 Professional Competence.,-1
 Hardworking Team Player with good communication   interpersonal skills..     Mentored new joiners,-1
 organized sessions and training for the process..,-1
 Willing to learn new concepts and take up larger responsibilities..     Have good understanding of SLA and how they relate to my performance in order to deliver.,-1
 according to client expectations..     Have working knowledge of staffing practices at the shift level to manage staffing to meet.,-1
 day to day needs..     Have broad understanding of complaint handling guidelines and procedures in use to resolve.,-1
 and/or escalate relevant issues..     Have proactively identified opportunities to exceed goals and targets,-1
 recovered from setbacks.,-1
 quickly,-1
 and identified newer ways to optimize resources needed to attain objectives.,-1
Arun Elumalai.,-1
 QA Tester.,-1
 Chennai,-1
 Tamil Nadu - Email me on Indeed: indeed.com/r/Arun-Elumalai/26575d617d50ea04.,-1
 15 Months of Experience as a QA Tester in Software Testing (Mainframe).,-1
 Experience in Automation,-1
 Functional,-1
 UI testing and Regression Testing.. .,-1
 Involvement in preparation of Test scenarios,-1
 Test cases and executing the same.. .,-1
 Defect reporting and tracking via Rational Quality Manager.. .,-1
 Preparation of test closure reports.. .,-1
 WORK EXPERIENCE.,-1
 QA Tester.,-1
 Accenture -.,-1
 November 2016 to March 2018. .,-1
 Associate Software Engineer   Accenture Services Pvt Ltd   Nov 2016 to Mar 2018.,-1
 Domain: Financial Services - Payments Domain.,-1
 Application: VisionPLUS.,-1
 PROJECT PROFILE.,-1
 Client - First Data Corporation.,-1
 Role - QA Tester.,-1
 Application - VisionPLUS.,-1
 Description and Responsibilities.,-1
1,-1
 Have worked in functional releases and tested across clients in the EMEA region.,-1
 Performed.,-1
 system integration testing for new clients that came into VisionPlus.. 2.,-1
 Automated manual scripts in Regression Testing and Executing the same using Selenium Web.,-1
 driver through Sauce Labs.. 3.,-1
 Performed UI Testing in First Apply and First Online.,-1
4,-1
 Tested various functionalities of credit card life cycle like account boarding,-1
 embossing,-1
.,-1
 account/card transfer,-1
 replacement and reissue of cards.. 5.,-1
 Tested manual and auto enrollment of offers,-1
 cashback offers.. .,-1
 PERFORMANCE ACHIEVEMENTS.,-1
 Won The Rising Star Award for the year 2017. .,-1
 EDUCATION.,-1
 Bachelor of Engineering in Automobile Engineering.,-1
 https://www.indeed.com/r/Arun-Elumalai/26575d617d50ea04 isid rex-download ikw download-top co IN.,-1
 Sri Venkateswara College Of Engineering -  Chennai,-1
 Tamil Nadu.,-1
 2012 to 2016. .,-1
 SKILLS.,-1
 ANSYS (Less than 1 year),-1
 CATIA (Less than 1 year),-1
 CREO (Less than 1 year),5
 PARAMETRIC.,-1
 (Less than 1 year),-1
 PYTHON (Less than 1 year),5
 Selenium,-1
 Selenium Webdriver,-1
 Testing,-1
.,-1
 Functional Testing,-1
 Automation Testing,-1
 Regression Testing,-1
 Quality Assurance.,-1
 ADDITIONAL INFORMATION.,-1
 TECHNICAL SKILLS.,-1
 Languages - Python.,-1
 Software/Tools - Selenium,-1
 WAF,-1
 Sauce Labs,-1
 Jenkins,-1
 Creo parametric 2.0,2
 Catia V6,-1
 Ansys,-1
Ashalata Bisoyi.,-1
 Transaction Processor - Oracle India Private Limited.,-1
 Bengaluru,-1
 Karnataka - Email me on Indeed: indeed.com/r/Ashalata-Bisoyi/cf02125911cfb5df.,-1
 To secure a position an esteem organization with good working culture that will help my career.,-1
 in the field of finance through my sincerity,-1
 hard works and skills.. .,-1
 WORK EXPERIENCE.,-1
 Transaction Processor.,-1
 Oracle India Private Limited -.,-1
 April 2016 to Present.,-1
 2 Year of experience with Oracle India Private Limited in expense team.,-1
 My work is auditing of.,-1
 expense reports of employees of all the countries,-1
 handling queries through emails and calls also.. JOB DESCRIPTION.,-1
 Auditing of expense reports of the employees for all the countries and working on service portal.,-1
 (Answering queries through email).,-1
 Handling the team in absence of seniors..,-1
 Working on Payment Rejections,-1
 export of expense reports to AP..     Take care of running Backlog,-1
 Having knowledge about travel advance.. .,-1
 EDUCATION.,-1
 Master of Finance and Control in MFC.,-1
 Khallikote Autonomous college -  Brahmapur,-1
 Orissa.,-1
 2015. .,-1
 Bachelor in Commerce.,-1
 Berhampur university -  Brahmapur,-1
 Orissa.,-1
 2013. .,-1
 Accounting.,-1
 Science College,-1
 Hinjilicut -  Brahmapur,-1
 Orissa.,-1
 2010. .,-1
 Education.,-1
 Council of Higher Secondary -  Orissa,-1
 IN.,-1
 2008. .,-1
 Government girls High school -  Hinjilikatu,-1
 Orissa.,-1
 https://www.indeed.com/r/Ashalata-Bisoyi/cf02125911cfb5df isid rex-download ikw download-top co IN.,-1
 Board of Secondary Education -  Orissa,-1
 IN.,-1
 ADDITIONAL INFORMATION.,-1
 Good analytical skills and flexible in work atmosphere..,-1
 Able to handle complex situation under process.,2
 Willingness to learn.,-1
 Ability to meet deadlines.,-1
 Every time accept the new challenges.,-1
 OTHER QUALIFICATIONS.,-1
 DOEACC O LEVEL.,-1
 M.S.,-1
 OFFICE,-1
Ashok Kunam.,-1
 Team Lead - Microsoft.,-1
 - Email me on Indeed: indeed.com/r/Ashok-Kunam/7aac8767aacf10a0.,-1
 Software Engineering professional with over 2.5 years of experience in development,-1
.,-1
 enhancement,-1
 integration,-1
 implementation and maintenance of software applications using.,-1
 Oracle.,-1
 Served some of the major clients such as Microsoft,-1
 Cisco,-1
 Oracle Eloqua,-1
 iTalent.,-1
 Knowledge of Operating Systems (OS) coding techniques,-1
 Internet Protocol (IP),-1
 interfaces and.,-1
 hardware subsystems,-1
 reading schematics and data sheets for components.,-1
 Expertise in Java,2
 J2EE,-1
 hibernate,-1
 spring,-1
 PHP,2
 Nifi,-1
 Angular JS,-1
 JavaScript,2
 JQuery,-1
 REST Web.,-1
 services,-1
 Jive,-1
 Lithium.,-1
 Successfully developed cloud based connectors using REST Web services and JIVE custom tiles.,-1
 plugins.,-1
 Proficient in end-to-end implementation of various projects  including designing,-1
 development,-1
.,-1
 coding,-1
 debugging,-1
 analyzing the logs   implementation of software applications.,-1
 Proven skills of understanding business requirements and translating them into technical.,-1
 specifications.,-1
 Possess interpersonal,-1
 analytical and negotiation skills with proven track record of utilizing a. process-oriented approach towards the accomplishment of cost,-1
 profit,-1
 service   organizational.,-1
 goals.,-1
 WORK EXPERIENCE.,-1
 Team Lead.,-1
 Microsoft -.,-1
 July 2017 to Present.,-1
 Environment: Java 1.8,2
 Spring MVC,-1
 Hibernate,-1
 REST API Calls,-1
 Power BI desktop tool,-1
 Lithium.,-1
 Bulk data API,-1
 SQL Server,2
 Maven,2
 Log 4j,-1
 Git,-1
 JIRA,2
 Scrum.,-1
 Role: Team Lead.,-1
 Period: July  17 - Till Date.,-1
 Description: Power BI deployed on Lithium Community,-1
7,-1
 000 Power BI users can collaborate.,-1
 and transfer the knowledge among them.,-1
 On an average 150 k activity per day in the community..,-1
 Cloud Connector is required to fetch the all the activities from the community and perform data.,-1
 mining and preserve into database as report generator format.,2
 Highlights:.,-1
 Provided support in the total software development life cycle of the project.,-1
 Implemented cloud connector to read the Lithium bulk data API,-1
 parse the data and inserted.,-1
 it into SQL Server.,2
 Generated views as per requirements   prepared Power BI reports.,-1
 Organization: iTalent Corporation.,-1
 Title: MyiTalent.,-1
 Client: iTalent.,-1
 https://www.indeed.com/r/Ashok-Kunam/7aac8767aacf10a0 isid rex-download ikw download-top co IN.,-1
 Environment: Java 1.8,2
 PHP,2
 REST API Calls,-1
 hibernate,-1
 Angular JS,-1
 CSS,2
 MySQL,2
 Maven,2
 Log.,-1
 4j,-1
 Git,-1
 JIRA,2
 Linux.,-1
 Role: Team Lead.,-1
 Period: July  17 - Till Date.,-1
 Description: Instantly find and hire the right candidate for your job opening.,-1
 With MyiTalent,-1
.,-1
 corporate human resource managers and hiring managers can now easily manage the hiring.,-1
 process with their recruiters.,-1
 Review and select from pre-screened candidates that match your.,-1
 requirements.,-1
 Find and identify experts within your company.,-1
 Browse project scope of work and.,-1
 details,-1
 including budget information.,-1
 Collaborate with your own personal recruiter at all times..,-1
 Provide feedback on candidates and projects.,-1
 Highlights:.,-1
 Developed PHP Backend Services.,2
 Implemented ZOHO integration for jobs and candidates using REST web services.,-1
 Created Cron Job to fetch candidates from ZOHO.,-1
 Organization: iTalent Corporation.,-1
 Title: CSC.,-1
 Client: Cisco.,-1
 Environment: Java 1.8,2
 Spring MVC,-1
 Hibernate,-1
 REST API Calls,-1
 Lithium Bulk data API,-1
 MySQL,2
.,-1
 Maven,2
 Log 4j,-1
 Git,-1
 JIRA,2
 Scrum.,-1
 Role: Team Lead.,-1
 Period: July  17 - Till Date.,-1
 Description: Migration from Drupal community to the Lithium Community which is enhanced.,-1
 with custom cloud search using Attivio..,-1
 Highlights:.,-1
 Provided support in the total software development life cycle of the project.,-1
 Implemented cloud connector to read the Lithium bulk data API,-1
 parse the data and inserted.,-1
 it into SQL Server.,2
 Generated views as per requirements   prepared Power BI reports.,-1
 EDUCATION.,-1
 Bachelor of Technology in ECE.,-1
 Jawaharlal Nehru Technology University -  Kakinada,-1
 Andhra Pradesh.,-1
 2014. .,-1
 SKILLS.,-1
 database (Less than 1 year),5
 Git (Less than 1 year),-1
 Java (Less than 1 year),5
 JIRA (Less than 1. year),5
 life cycle (Less than 1 year).,-1
 LINKS.,-1
 https://www.linkedin.com/in/ashok-kunam-85a845a8.,-1
 https://www.linkedin.com/in/ashok-kunam-85a845a8.,-1
 ADDITIONAL INFORMATION.,-1
 Technical Skills.,-1
 Programming Languages: Java   J2EE,2
 PHP,2
 Apache Nifi,-1
 SOAP Web Services,-1
 Rest Web Services,-1
.,-1
 Jackson-2.,-1
 Framework s: Spring,-1
 Hibernate,-1
 Junit,2
 Mockito.,-1
 Database: MYSQL,2
 SQL Server,2
 Oracle.,-1
 App/Web Servers: Tomcat,-1
 Apache.,-1
 Operating Systems: Windows,-1
 Linux.,-1
 SKM: Lithium.,-1
 Tools: Git,-1
 JIRA,2
 Eclipse,-1
 putty.,-1
 Knowledge Purview.,-1
 Methodologies and Principles:.,-1
 Code Generation Tools.,2
 Documentation Generation.,-1
 Inversion of Control.,-1
 Iterative Development.,-1
 Object Oriented Programming.,-1
 Deployment.,-1
 Agile.,-1
 Professional Experience.,-1
 Core Competencies.,-1
 Requirement Gathering.,-1
 Deployment   Support.,-1
 Project Management.,-1
 Software Development Life Cycle.,-1
 Delivery Management.,-1
 Quality Assurance.,-1
 Application / Software Development.,-1
 Liaison   Coordination,-1
Avin Sharma.,-1
 Senior Associate Consultant - Infosys Limited.,-1
 Hyderabad,-1
 Telangana - Email me on Indeed: indeed.com/r/Avin-Sharma/3ad8a8b57a172613.,-1
 WORK EXPERIENCE.,-1
 Senior Associate Consultant.,-1
 Infosys Limited -.,-1
 July 2015 to Present.,-1
 Worked on Presales activities preparing Proposals,-1
 RFP s,-1
 preparing presentations,-1
